abate,verb
abbreviate,verb
abide,verb
﻿abnormally,adjective
abort,verb
abscond,verb
absentmindedly,adjective
absorb,verb
abstain,verb
abuse,verb
accede,verb
accelerate,verb
accentuate,verb
accent,noun
accept,verb
accidentally,adjective
accommodate,verb
accompany,verb
accost,verb
account,noun
accuse,verb
ache,verb
achiever,verb
achieve,verb
acidly,noun
acknowledge,verb
acoustics,noun
acquiesce,verb
acquire,verb
action,noun
activity,noun
actor,noun
actually,adverb
act,noun
act,noun
adapt,verb
addition,noun
address,noun
add,verb
adhere,verb
adjustment,noun
adjust,verb
administer,verb
admire,verb
admit,verb
admonish,verb
adore,verb
adorn,verb
advance,verb
adventurously,adjective
advertisement,noun
advertise,verb
advice,noun
advise,verb
advocate,verb
affirm,verb
affix,verb
afk,abbreviation
afraid,adjective
aftermath,noun
afternoon,noun
afterthought,noun
afterwards,adverb
aggravate,verb
agonize,verb
agreement,noun
agree,verb
aid,verb
aim,verb
airplane,noun
airport,noun
air,noun
air,noun
alarm,noun
alert,adjective
align,verb
allege,verb
alley,noun
allow,verb
allude,verb
almost,adverb
alphabetise,verb
alphabetize,verb
alternate,verb
alter,verb
always,adverb
amble,verb
amend,verb
amount,noun
amusement,noun
amuse,verb
analyse,verb
analyze,verb
anger,noun
angrily,adjective
animal,noun
animate,verb
annotate,verb
announce,verb
annoy,verb
annually,adjective
anoint,verb
answer,noun
answer,noun
antagonise,verb
antagonize,verb
anticipate,verb
ants,noun
ant,noun
anxiously,adjective
apologise,verb
apologize,verb
apparatus,noun
apparel,noun
appeal,noun
appear,verb
appease,verb
applaud,verb
apples,adjective
apple,noun
appliance,noun
apply,verb
appraise,verb
appreciate,verb
approach,verb
appropriate,adjective
approval,noun
approve,verb
arch,noun
arch,noun
arc,noun
argue,verb
argument,noun
arise,verb
arithmetic,noun
army,noun
arm,noun
arrange,verb
arrest,verb
arrogantly,adjective
articulate,adjective
art,noun
ascend,verb
ascertain,verb
ask,verb
assail,verb
assault,noun
assay,verb
assent,verb
assert,verb
assess,verb
assign,verb
